"treatment","forest_type","plot_ID","gbh_cm","gbh_cm_stem2","gbh_cm_stem3","height_m","code","species_ID","family","ID_level","sp_sdev","sp_m","ge_sdev","ge_m","basalarea_cm2","dia1","dia2","dia3","den","agb","plotA","plotB","plotC","wd_m","wd_sd","WD_level","agb_Mg","type_plot","gf"
"OL_near","deciduous","MAT1C5P01",30,NA,NA,12,"ficsp","Ficus sp","Moraceae","G",NA,NA,0.093306860599978,0.411557578411765,71.6197243913529,9.54929658551372,NA,NA,0.411557578411765,26.1748599590087,"Y",NA,NA,0.411557578411765,0.093306860599978,"G",0.00261748599590087,"A","T"
"OL_near","deciduous","MAT1C5P01",33.5,NA,NA,9,"diopyr","Diospyros pyrrhocarpa","Ebenaceae","S",NA,0.64,0.130127618742892,0.697182559572917,89.3058174424398,10.663381187157,NA,NA,0.64,37.7257879985822,"Y",NA,NA,0.64,0.130127618742892,"S",0.00377257879985822,"A","T"
"OL_near","deciduous","MAT1C5P01",180,NA,NA,15,"ficrum","Ficus rumphii","Moraceae","S",0.041046134434317,0.400976,0.093306860599978,0.411557578411765,2578.3100780887,57.2957795130823,NA,NA,0.400976,1048.04287442538,"Y",NA,"Y",0.400976,0.041046134434317,"S",0.104804287442538,"A","T"
"OL_near","deciduous","MAT1C5P01",34,NA,NA,7,"pteace","Pterospermum aceroides","Sterculiaceae","S",NA,NA,0.099729287892589,0.520992805555556,91.9915571071155,10.8225361302489,NA,NA,0.520992805555556,24.8581503557347,"Y",NA,NA,0.520992805555556,0.099729287892589,"G",0.00248581503557347,"A","T"
"OL_near","deciduous","MAT1C5P01",50,NA,NA,NA,"belsp","Climber species",NA,"G",NA,NA,NA,NA,198.943678864869,15.9154943091895,NA,NA,NA,0,"Y",NA,NA,0.569020180720243,0.0474944071184135,"P",0,"A","P"
"OL_near","deciduous","MAT1C5P01",376.8,NA,NA,32.5,"ptedal","Pterocarpus dalbergioides","Fabaceae","S",0.056568542494924,0.62,0.156220569607337,0.587123327758621,11298.2693537437,119.939165114052,NA,NA,0.62,14425.1197559844,NA,NA,"Y",0.62,0.056568542494924,"S",1.44251197559844,"C","T"
"OL_near","deciduous","MAT1C5P01",502.4,NA,NA,34.5,"ptedal","Pterocarpus dalbergioides","Fabaceae","S",0.056568542494924,0.62,0.156220569607337,0.587123327758621,20085.8121844333,159.918886818736,NA,NA,0.62,26811.0064818724,NA,NA,"Y",0.62,0.056568542494924,"S",2.68110064818724,"C","T"
"OL_near","deciduous","MAT1C5P01",376.8,NA,NA,NA,"stump","stump",NA,"G",NA,NA,NA,NA,11298.2693537437,119.939165114052,NA,NA,NA,0,NA,NA,"Y",0.569020180720243,0.0474944071184135,"P",0,"C","T"
"OL_near","deciduous","MAT1C5P01",196,NA,NA,30.5,"terpro","Terminalia procera","Combretaceae","S",NA,0.52,0.153541295211701,0.55471976127933,3057.04814690913,62.388737692023,NA,NA,0.52,3188.2933299485,NA,NA,"Y",0.52,0.153541295211701,"S",0.31882933299485,"C","T"
"OL_near","deciduous","MAT1C5P01",245,NA,NA,23.5,"pajrhe","Pajanelia rheedei","Bignoniaceae","S",NA,0.716352,0.252720575540128,0.425450666666667,4776.63772954551,77.9859221150287,NA,NA,0.716352,5223.91840985383,NA,NA,"Y",0.716352,0.252720575540128,"S",0.522391840985383,"C","T"
"OL_near","deciduous","MAT1C5P01",235,NA,NA,28.5,"ptetin","Pterocymbium tinctorium","Sterculiaceae","S",NA,0.25,0.070641632672714,0.324993333333333,4394.66586612496,74.8028232531908,NA,NA,0.25,2080.75531049841,NA,NA,"Y",0.25,0.070641632672714,"S",0.208075531049841,"C","T"
"OL_near","deciduous","MAT1C5P01",220,NA,NA,28.5,"tetnud","Tetrameles nudiflora","Tetramelaceae","S",0.048223213600921,0.307096,0.048223213600921,0.307096,3851.54962282387,70.0281749604339,NA,NA,0.307096,2236.12331035362,NA,NA,"Y",0.307096,0.048223213600921,"S",0.223612331035362,"C","T"
"OL_near","deciduous","MAT1C5P01",204.1,NA,NA,NA,"stump","stump",NA,"G",NA,NA,NA,NA,3314.94361246995,64.9670477701117,NA,NA,NA,0,NA,NA,"Y",0.569020180720243,0.0474944071184135,"P",0,"C","T"
"OL_near","deciduous","MAT1C5P01",360,NA,NA,NA,"stump","stump",NA,"G",NA,NA,NA,NA,10313.2403123548,114.591559026165,NA,NA,NA,0,NA,NA,"Y",0.569020180720243,0.0474944071184135,"P",0,"C","T"
